row: 1025 , cols: 29184, CPU data: 21.47 , GPU data: 75.01 are not equal, with difference (53.5357589722) 
row: 1025 , cols: 29185, CPU data: 23.09 , GPU data: 97.51 are not equal, with difference (74.4273071289) 
row: 1025 , cols: 29186, CPU data: 22.83 , GPU data: 65.97 are not equal, with difference (43.1442642212) 
row: 1025 , cols: 29187, CPU data: 68.88 , GPU data: 82.02 are not equal, with difference (13.1404266357) 
row: 1025 , cols: 29188, CPU data: 82.10 , GPU data: 95.52 are not equal, with difference (13.4273605347) 
row: 1025 , cols: 29189, CPU data: 104.65 , GPU data: 114.91 are not equal, with difference (10.2568588257) 
row: 1025 , cols: 29190, CPU data: 36.25 , GPU data: 24.52 are not equal, with difference (-11.7338371277) 
row: 1025 , cols: 29191, CPU data: 49.40 , GPU data: 50.01 are not equal, with difference (0.6136436462) 
row: 1025 , cols: 29192, CPU data: 43.19 , GPU data: 92.03 are not equal, with difference (48.8415222168) 
row: 1025 , cols: 29193, CPU data: 87.48 , GPU data: 32.39 are not equal, with difference (-55.0874366760) 
row: 1025 , cols: 29194, CPU data: 16.00 , GPU data: 29.07 are not equal, with difference (13.0688838959) 
row: 1025 , cols: 29195, CPU data: 89.05 , GPU data: 82.98 are not equal, with difference (-6.0746459961) 
row: 1025 , cols: 29196, CPU data: 82.20 , GPU data: 77.01 are not equal, with difference (-5.1944808960) 
row: 1025 , cols: 29197, CPU data: 21.40 , GPU data: 85.70 are not equal, with difference (64.3020401001) 
row: 1025 , cols: 29198, CPU data: 81.61 , GPU data: 75.80 are not equal, with difference (-5.8064498901) 
row: 1025 , cols: 29199, CPU data: 71.22 , GPU data: 63.66 are not equal, with difference (-7.5626487732) 
row: 1025 , cols: 29200, CPU data: 96.77 , GPU data: 78.64 are not equal, with difference (-18.1293487549) 
row: 1025 , cols: 29201, CPU data: 25.50 , GPU data: 66.22 are not equal, with difference (40.7242317200) 
row: 1025 , cols: 29202, CPU data: 67.47 , GPU data: 35.78 are not equal, with difference (-31.6914253235) 
row: 1025 , cols: 29203, CPU data: 78.92 , GPU data: 57.22 are not equal, with difference (-21.6987991333) 
row: 1025 , cols: 29204, CPU data: 54.12 , GPU data: 67.08 are not equal, with difference (12.9618034363) 
row: 1025 , cols: 29205, CPU data: 43.68 , GPU data: 28.44 are not equal, with difference (-15.2377357483) 
row: 1025 , cols: 29206, CPU data: 62.20 , GPU data: 49.24 are not equal, with difference (-12.9569969177) 
row: 1025 , cols: 29207, CPU data: 40.80 , GPU data: 18.44 are not equal, with difference (-22.3653240204) 
row: 1025 , cols: 29208, CPU data: 67.36 , GPU data: 71.06 are not equal, with difference (3.7061004639) 
